sep=,
Time:UnityTime, Time:FrameNum, E:Automatic__LeftPupil:Diameter, E:Automatic__RightPupil:Diameter, E:Automatic__LeftPupilNormPos:Point2D:X, E:Automatic__LeftPupilNormPos:Point2D:Y, E:Automatic__RightPupilNormPos:Point2D:X, E:Automatic__RightPupilNormPos:Point2D:Y, E:Automatic_LeftPupil:EyeOpeness, E:Automatic_RightPupil:EyeOpeness, GV:VRGV:Origin:Left:Point3D:X, GV:VRGV:Origin:Left:Point3D:Y, GV:VRGV:Origin:Left:Point3D:Z, GV:VRGV:Origin:Right:Point3D:X, GV:VRGV:Origin:Right:Point3D:Y, GV:VRGV:Origin:Right:Point3D:Z, GV:VRGV:NormDirection:Left:Point3D:X, GV:VRGV:NormDirection:Left:Point3D:Y, GV:VRGV:NormDirection:Left:Point3D:Z, GV:VRGV:NormDirection:Right:Point3D:X, GV:VRGV:NormDirection:Right:Point3D:Y, GV:VRGV:NormDirection:Right:Point3D:Z, GV:VRGV:FixPoint:Point3D:X, GV:VRGV:FixPoint:Point3D:Y, GV:VRGV:FixPoint:Point3D:Z, M:TargetPos:Point3D:X, M:TargetPos:Point3D:Y, M:TargetPos:Point3D:Z, O:HeadObj:Center:Point3D:X, O:HeadObj:Center:Point3D:Y, O:HeadObj:Center:Point3D:Z, O:HeadObj:Vertex1:Point3D:X, O:HeadObj:Vertex1:Point3D:Y, O:HeadObj:Vertex1:Point3D:Z, O:HeadObj:Vertex2:Point3D:X, O:HeadObj:Vertex2:Point3D:Y, O:HeadObj:Vertex2:Point3D:Z, O:HeadObj:Vertex3:Point3D:X, O:HeadObj:Vertex3:Point3D:Y, O:HeadObj:Vertex3:Point3D:Z, O:HeadObj:Vertex4:Point3D:X, O:HeadObj:Vertex4:Point3D:Y, O:HeadObj:Vertex4:Point3D:Z, O:HeadObj:Vertex5:Point3D:X, O:HeadObj:Vertex5:Point3D:Y, O:HeadObj:Vertex5:Point3D:Z, O:HeadObj:Vertex6:Point3D:X, O:HeadObj:Vertex6:Point3D:Y, O:HeadObj:Vertex6:Point3D:Z, O:HeadObj:Vertex7:Point3D:X, O:HeadObj:Vertex7:Point3D:Y, O:HeadObj:Vertex7:Point3D:Z, O:HeadObj:Vertex8:Point3D:X, O:HeadObj:Vertex8:Point3D:Y, O:HeadObj:Vertex8:Point3D:Z
0.4689941, 464, 0.004150497, 0.004150497, 0.4336045, 0.6477202, 0.4474352, 0.6493656, 1, 1, 0.03384428, -0.0006876984, -0.03633006, -0.03020175, 8.340454E-05, -0.0404953, 0.0607605, 0.1216278, 0.9907074, 0.1785889, 0.09877014, 0.9789429, 0, 0, 0, -2.473139, 7.732891, -10.34656, -1.16589, 13.54514, -15.13583, -3.181217, 14.0584, -17.38203, 0.3688488, 13.65102, -17.81915, -3.235699, 11.21507, -15.17465, 0.3143668, 10.80769, -15.61177, -2.586186, 16.22854, -14.57198, 0.9638796, 15.82117, -15.0091, -2.640669, 13.38522, -12.3646, 0.9093976, 12.97784, -12.80172
0.4920511, 465, 0.004281723, 0.004281723, 0.431962, 0.6472337, 0.4497764, 0.6529297, 1, 1, 0.03384373, -0.0007143402, -0.03616479, -0.03023051, 3.463745E-05, -0.04023543, 0.07197571, 0.1222229, 0.9898834, 0.1701355, 0.07298279, 0.9827118, 0, 0, 0, -2.473335, 7.731232, -10.34954, -1.192151, 13.56893, -15.1744, -3.217273, 14.06504, -17.42527, 0.334527, 13.67664, -17.86556, -3.252384, 11.22967, -15.20729, 0.299415, 10.84126, -15.64759, -2.631194, 16.24903, -14.62406, 0.9206055, 15.86062, -15.06436, -2.666306, 13.41365, -12.40609, 0.8854935, 13.02524, -12.84639
0.5135124, 466, 0.004102768, 0.004102768, 0.4912714, 0.6294847, 0.5055546, 0.6369741, 1, 1, 0.03292226, -0.0002875976, -0.03660324, -0.03104896, 0.0004238892, -0.04063638, -0.09358215, 0.1618958, 0.9823456, 0.029953, 0.1053925, 0.9939728, 0, 0, 0, -2.474624, 7.732619, -10.35395, -1.219682, 13.58888, -15.2121, -3.245669, 14.06203, -17.46785, 0.3090888, 13.69653, -17.90387, -3.2621, 11.23834, -15.23481, 0.2926577, 10.87284, -15.67082, -2.67696, 16.26502, -14.67797, 0.8777971, 15.89952, -15.11399, -2.693392, 13.44133, -12.44493, 0.8613661, 13.07583, -12.88095
0.5351262, 467, 0.004158478, 0.004158478, 0.495474, 0.6304269, 0.504827, 0.6380792, 1, 1, 0.03288313, -0.0003123322, -0.03658527, -0.03106941, 0.0003680878, -0.04041857, -0.1113739, 0.1615295, 0.9805603, 0.03665161, 0.09767151, 0.9945374, 0, 0, 0, -2.47479, 7.73345, -10.35646, -1.244041, 13.61083, -15.25049, -3.281163, 14.05788, -17.50346, 0.2750946, 13.71452, -17.94521, -3.273903, 11.24408, -15.25791, 0.2823544, 10.90072, -15.69966, -2.721718, 16.27703, -14.72455, 0.8345399, 15.93368, -15.16629, -2.714458, 13.46324, -12.479, 0.8417997, 13.11988, -12.92074
0.5559706, 468, 0.004177872, 0.004177872, 0.4964216, 0.6330572, 0.5079396, 0.6378495, 1, 1, 0.0328934, -0.0003519898, -0.03659428, -0.03110637, 0.0003284454, -0.04036015, -0.119812, 0.1548615, 0.9806366, 0.02677917, 0.104187, 0.9941864, 0, 0, 0, -2.474488, 7.733155, -10.35883, -1.267849, 13.6306, -15.28716, -3.317857, 14.05362, -17.53592, 0.2393752, 13.73716, -17.98974, -3.27938, 11.24935, -15.27881, 0.2778523, 10.93289, -15.73262, -2.765934, 16.28878, -14.76835, 0.7912987, 15.97231, -15.22217, -2.727456, 13.48451, -12.51123, 0.8297758, 13.16804, -12.96505
0.5773436, 469, 0.004138199, 0.004138199, 0.4945352, 0.6371174, 0.507152, 0.6395999, 1, 1, 0.03287608, -0.0004333191, -0.03660614, -0.03114888, 0.0003180542, -0.04057306, -0.103653, 0.1476135, 0.9835815, 0.04197693, 0.1094666, 0.9930878, 0, 0, 0, -2.472067, 7.734456, -10.35979, -1.290667, 13.64666, -15.32246, -3.35416, 14.04441, -17.56664, 0.2041121, 13.75863, -18.03251, -3.28149, 11.25045, -15.29762, 0.2767821, 10.96466, -15.76348, -2.81248, 16.29654, -14.81083, 0.7457921, 16.01076, -15.2767, -2.73981, 13.50258, -12.54181, 0.8184621, 13.21679, -13.00767
0.5983398, 470, 0.004248398, 0.004248398, 0.4931006, 0.6387899, 0.5041235, 0.6417248, 1, 1, 0.03290411, -0.0004563904, -0.03663318, -0.03113753, 0.000246872, -0.04045969, -0.1018524, 0.1456299, 0.9840698, 0.05593872, 0.1055603, 0.9928284, 0, 0, 0, -2.471871, 7.734546, -10.36054, -1.31308, 13.66021, -15.35592, -3.387036, 14.03219, -17.59768, 0.172167, 13.77444, -18.0727, -3.284036, 11.24949, -15.31602, 0.275167, 10.99174, -15.79104, -2.856502, 16.30158, -14.85389, 0.7027012, 16.04384, -15.32891, -2.753502, 13.51888, -12.57223, 0.8057013, 13.26114, -13.04725
0.6219004, 471, 0.004215912, 0.004215912, 0.4867941, 0.640458, 0.5035459, 0.6432928, 1, 1, 0.03297694, -0.0004936371, -0.03657243, -0.03106326, 0.0002338104, -0.04031189, -0.07820129, 0.138855, 0.9872131, 0.04257202, 0.09049988, 0.9949799, 0, 0, 0, -2.473124, 7.735684, -10.36213, -1.338719, 13.67393, -15.38776, -3.419766, 14.02634, -17.6248, 0.1391227, 13.78732, -18.11181, -3.292694, 11.25175, -15.33449, 0.2661949, 11.01273, -15.8215, -2.892355, 16.30768, -14.89033, 0.6665336, 16.06866, -15.37734, -2.765283, 13.53309, -12.60002, 0.7936058, 13.29408, -13.08704
0.6433535, 472, 0.004275742, 0.004275742, 0.4840074, 0.6387028, 0.5014395, 0.6413861, 1, 1, 0.03302215, -0.0004826202, -0.03666707, -0.03102374, 0.0003372192, -0.04061231, -0.07188416, 0.1546631, 0.9853363, 0.04766846, 0.09716797, 0.9941101, 0, 0, 0, -2.472291, 7.734147, -10.36347, -1.36277, 13.68749, -15.41699, -3.451902, 14.01438, -17.6546, 0.1073801, 13.79336, -18.14721, -3.304117, 11.25408, -15.34832, 0.2551644, 11.03306, -15.84093, -2.932602, 16.3148, -14.9346, 0.6266797, 16.09377, -15.42721, -2.784818, 13.5545, -12.62832, 0.774464, 13.33348, -13.12093
0.6642297, 473, 0.004397796, 0.004397796, 0.4848826, 0.6426247, 0.5031286, 0.6459711, 1, 1, 0.03302069, -0.000406723, -0.03705792, -0.03101532, 0.0002424774, -0.04042795, -0.07980347, 0.1392975, 0.9870148, 0.03460693, 0.0801239, 0.99617, 0, 0, 0, -2.47267, 7.73414, -10.36318, -1.383406, 13.69806, -15.44696, -3.478737, 13.99761, -17.68558, 0.08214962, 13.80182, -18.17726, -3.308949, 11.25245, -15.36281, 0.2519366, 11.05666, -15.8545, -2.977476, 16.31833, -14.97947, 0.5834101, 16.12254, -15.47116, -2.807689, 13.57316, -12.65671, 0.753197, 13.37737, -13.14839
0.6854961, 474, 0.004116958, 0.004116958, 0.4821907, 0.651759, 0.5020698, 0.6569921, 1, 1, 0.03303301, -0.0004767303, -0.03733077, -0.03097334, -2.69165E-05, -0.04019644, -0.06521606, 0.1110229, 0.9916687, 0.03034973, 0.061203, 0.9976501, 0, 0, 0, -2.47318, 7.735507, -10.36404, -1.401291, 13.70309, -15.48031, -3.505978, 13.98102, -17.71293, 0.05541699, 13.81099, -18.21048, -3.310239, 11.24805, -15.37787, 0.251156, 11.07801, -15.87542, -3.017967, 16.3181, -15.01851, 0.5434275, 16.14806, -15.51606, -2.822228, 13.58513, -12.68344, 0.7391665, 13.41509, -13.18099
